TipoMov 	Angles[0] 	Angles[1] 	Angles[2] 	Angles[3] 	Angles[4] 	gEUD[0] 	gEUD[1] 	gEUD[2] 	gEUD[3] 	globalScore 	weights[0] 	weights[1] 	weights[2] 	
9274 Seconds 	DDMs loading begins
2 Seconds 	Loading of DDMs is completed and begin the initial BAC is FMO
31 Seconds 	Initial BAC is solved
0 Seconds 	ite_fixed_rMIP_LS begins
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: Starting AMPL Files loading
10 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
147 Seconds 	prepareampl: rMIP fixed solved
159 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
159 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
30 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
0	95	120	210	245	340	76.0	56.9255	41.1461	85.0	0.601518674056587	0.0	0.0	0.0	x95:	30.0	29.9995	30.0	30.0	22.0101	1.62455E-7	6.62279	30.0	27.024	19.8974	21.8001	25.6356	21.1122	2.51979E-6	3.62888E-6	20.3938	30.0	15.9452	20.3668	17.0308	8.7859	8.27343	2.99898	25.4581	28.7582	24.5827	30.0	30.0	21.3218	8.09437E-7	1.50201E-7	6.26419	17.0554	21.29	18.6983	13.0869	22.5889	20.7828	6.44558	1.76641E-7	1.168	30.0	30.0	30.0	16.6357	26.6657	30.0	6.47465E-7	30.0	3.96307E-7	6.47605E-7	2.09989	3.90933E-7	6.37833	30.0	3.41571E-7	1.64191	10.9147	8.98951E-6	x120:	27.4501	14.6337	6.49087E-6	28.3124	1.81096E-6	6.57653E-8	30.0	13.1947	18.0042	12.6795	30.0	30.0	30.0	8.80718	27.1109	17.066	22.7845	15.0188	26.6384	20.3736	27.4622	22.4222	30.0	20.4267	13.4917	16.4195	30.0	30.0	30.0	24.3213	1.76939E-7	23.5983	0.0106857	13.0272	8.86571E-7	16.2267	11.6247	13.7112	30.0	2.40373E-7	14.7885	1.06917E-6	10.6209	3.71982	19.2173	14.1591	8.77595	3.49642E-7	3.87973	2.32749E-6	2.59473	2.64544	16.4393	14.9489	2.85153	1.90598E-6	21.9097	9.3365E-7	2.47261E-6	9.25814	24.3917	7.40653	9.38662	14.5897	x210:	5.48111E-6	2.34134E-6	15.3042	12.7727	20.0239	18.6266	23.7197	14.3492	3.89823E-7	1.16381E-7	2.74515E-7	8.57043	16.543	17.5074	16.1923	7.2166	3.45282	2.61653	1.26569E-7	5.91582E-7	18.74	12.2272	7.75938	16.0276	6.35751	3.06559	9.20821	2.56906	2.95158E-7	18.2812	11.1762	8.50952	18.2439	8.86128	5.76991	10.9644	1.91739	2.87516E-7	18.4063	7.72087	8.60465	14.1352	7.27	4.94933	13.7729	4.42702	3.19859E-7	24.1526	18.1259	12.3299	17.2911	4.62143	3.94127E-7	17.1905	12.5547	2.14522E-7	19.4379	27.9016	17.5731	23.4885	14.5692	10.3425	30.0	0.00616517	2.69882E-7	5.69209E-6	14.4843	18.869	6.53464E-7	6.91533E-8	8.84998E-8	x245:	13.7767	11.5274	9.53378	3.74921	2.22537E-5	9.70381	12.8081	6.31878	2.97235E-7	0.0063067	5.56377	18.7237	15.8825	0.00869391	2.32482	5.99804	1.15121E-6	20.5608	13.4948	9.35618	14.966	11.5663	3.52613	1.92988E-7	1.8915E-6	13.227	19.5818	12.7535	11.4562	16.8261	11.8787	6.38628	18.2657	2.38044E-7	30.0	30.0	14.0542	24.9475	28.0573	23.8983	22.8456	16.452	1.85454E-7	27.4633	26.2656	27.8031	30.0	29.9231	28.446	17.8266	15.4268	1.88365E-7	26.7946	11.7892	24.11	29.9897	30.0	30.0	30.0	8.95273	28.1021	29.999	30.0	27.7197	13.5849	4.2094E-7	x340:	22.8797	4.85272E-6	29.2482	4.05467E-6	7.67157E-7	3.79887E-7	2.88304E-7	6.72528E-8	1.65234E-7	4.90833	5.1073	5.24601E-7	7.61135	3.43708	1.39487	3.76506	1.73809E-7	6.21112E-8	2.45105E-7	0.0554002	4.54207	2.25135	3.161	1.63221	2.13611	3.73047	7.00751E-7	1.28059E-7	3.69787E-7	5.18722	2.9528	3.55428	2.48679	2.42206	4.61552	0.47975	1.20909E-7	5.91532	2.28526	1.29419E-6	2.95807	1.83147	1.88693	4.96253	4.51018	1.30088E-7	6.69715	8.08659	5.53273	4.64354	0.699417	1.32702	11.1508	4.19091	1.20044E-7	2.93454	6.12865E-6	5.21184	8.5354	1.39994	4.4642	8.87164	1.51811E-7	1.54495E-7	5.07136E-6	8.51163	2.00893E-6	1.07658E-7	2.81066E-8	4.10021E-8	
189 Seconds 	rMIP for beam angle 1 ended, getting better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
126 Seconds 	prepareampl: rMIP fixed solved
126 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
126 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
32 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
158 Seconds 	rMIP for beam angle 2 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
122 Seconds 	prepareampl: rMIP fixed solved
122 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
122 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
31 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
153 Seconds 	rMIP for beam angle 3 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
111 Seconds 	prepareampl: rMIP fixed solved
111 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
111 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
30 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
